Lp.;Oddział;Województwo;Zarządca;Miejscowość;Dane identyfikacyjne;Obecna Kategoria;Kat_docel;x;y;Klasa techniczna drogi;Nr drogi;Pikietaż;Kierunek;Parking Osobowe;Parking Ciężarowe;Parking Autobus;Toalety;Stacja paliw;Restauracja /Bistro;Miejsca noclegowe;Ładowanie pojazdów elektrycznych;Ochrona;Ogrodzenie;Monitoring wideo;Oświetlenie;Miejsca dla pojazdów z ładunkiem niebezpiecznym;Myjnia;Warsztat;Miejsca zrzutu nieczystości płynnych;Prysznic;Możliwość tankowania wodorem;Możliwość tankowania CNG;Możliwość tankowania LNG;Rampy do odśnieżania
1;Białystok;podlaskie;Prywatny;Jeżewo;OOUR;Parking prywatny;Parking prywatny;53.135688;22.750355;S;8;618+260;Białystok;8;10;0;tak;tak;tak;nie;nie;nie;nie;tak;tak;nie;nie;nie;nie;tak;nie;nie;nie;nie
2;Białystok;podlaskie;Prywatny;Radule;OOUR;Parking prywatny;Parking prywatny;53.144893;22.793501;S;8;621+400;Warszawa;60;250;20;tak;tak;tak;tak;nie;tak;tak;tak;tak;nie;nie;tak;nie;tak;nie;nie;nie;nie
3;Białystok;podlaskie;Prywatny;Złotoria;OOUR;Parking prywatny;Parking prywatny;53.164913;22.935965;S;8;631+150;Warszawa;52;100;6;tak;tak;tak;tak;nie;nie;nie;tak;tak;nie;nie;nie;nie;nie;nie;nie;nie;nie
4;Białystok;podlaskie;GDDKiA;Chomentowo;Chomentowo Wschód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.06402;21.981691;S;61;31+620;Budzisko;81;34;6;tak;tak;tak;nie;tak;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;tak
5;Białystok;podlaskie;GDDKiA;Chomentowo;Chomentowo Zachód;MOP funkcja komercyjna;MOP funkcja komercyjna;53.064462;21.978905;S;61;31+242;Warszawa;93;40;7;tak;tak;tak;nie;tak;tak;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;tak
6;Białystok;podlaskie;GDDKiA;Górki;Górki Wschód;MOP funkcja podstawowa;MOP funkcja komercyjna;53.270723;22.127441;S;61;60+300;Budzisko;80;39;8;tak;nie;nie;nie;nie;nie;nie;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
7;Białystok;podlaskie;GDDKiA;Górki;Górki Zachód;MOP funkcja podstawowa;MOP funkcja komercyjna;53.270702;22.125636;S;61;60+700;Warszawa;74;36;6;tak;nie;nie;nie;nie;nie;nie;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
8;Białystok;podlaskie;GDDKiA;Zabiele;Zabiele Wschód;MOP funkcja podstawowa;MOP funkcja komercyjna;53.4264;22.1692;S;61;79+250;Budzisko;88;45;7;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
9;Białystok;podlaskie;GDDKiA;Zabiele;Zabiele Zachód;MOP funkcja podstawowa;MOP funkcja komercyjna;53.4311;22.1711;S;61;79+250;Warszawa;100;52;9;tak;nie;nie;nie;nie;nie;tak;nie;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
10;Białystok;podlaskie;GDDKiA;Rudniki;Rudniki Północ;MOP funkcja komercyjna;MOP funkcja komercyjna;53.998948;22.825379;S;61f;4+750;Warszawa;30;22;2;tak;tak;tak;nie;nie;nie;tak;tak;tak;tak;nie;nie;tak;tak;nie;nie;nie;nie
